Classificação,Valor,Meses,Valor total
Pesquisador Sênior - Nível A,"R$ 6.000,00",8,"R$ 48.000,00"
Pesquisador Sênior - Nível A,"R$ 5.000,00",8,"R$ 40.000,00"
Pesquisador Sênior - Nível A,"R$ 7.000,00",12,"R$ 84.000,00"
Pesquisador Sênior - Nível A,"R$ 7.000,00",12,"R$ 84.000,00"
Pesquisador Sênior - Nível A,"R$ 7.000,00",12,"R$ 84.000,00"
Pesquisador Sênior - Nível B,"R$ 4.000,00",8,"R$ 32.000,00"
Pesquisador Sênior - Nível C,"R$ 4.000,00",8,"R$ 32.000,00"
Pesquisador Sênior - Nível C,"R$ 3.000,00",8,"R$ 24.000,00"
Pesquisador Sênior - Nível C,"R$ 3.000,00",8,"R$ 24.000,00"
Pesquisador Sênior - Nível C,"R$ 3.000,00",8,"R$ 24.000,00"
Pesquisador Sênior - Nível C,"R$ 3.000,00",8,"R$ 24.000,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível C","R$ 2.500,00",8,"R$ 20.000,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível C","R$ 2.500,00",12,"R$ 30.000,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível C","R$ 2.500,00",12,"R$ 30.000,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível C","R$ 2.500,00",12,"R$ 30.000,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível C","R$ 2.500,00",8,"R$ 20.000,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível C","R$ 2.500,00",8,"R$ 20.000,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível C","R$ 2.500,00",8,"R$ 20.000,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível C","R$ 2.500,00",8,"R$ 20.000,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível D","R$ 2.000,00",8,"R$ 16.000,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível C","R$ 2.500,00",8,"R$ 20.000,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível D","R$ 2.000,00",8,"R$ 16.000,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível D","R$ 1.800,00",8,"R$ 14.400,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível D","R$ 1.800,00",8,"R$ 14.400,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível D","R$ 1.800,00",12,"R$ 21.600,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível D","R$ 1.800,00",12,"R$ 21.600,00"
"Pesquisador  -Pesquisa, Desenvolvimento e Inovação -  PDI - Nível D","R$ 1.800,00",8,"R$ 14.400,00"
Apoio Técnico à Pesquisa - Nível A,"R$ 1.800,00",8,"R$ 14.400,00"
Apoio Técnico à Pesquisa - Nível A,"R$ 1.800,00",8,"R$ 14.400,00"
Apoio Técnico à Pesquisa - Nível A,"R$ 1.800,00",8,"R$ 14.400,00"
Apoio Técnico à Pesquisa - Nível A,"R$ 1.500,00",8,"R$ 12.000,00"
Apoio Técnico à Pesquisa - Nível A,"R$ 900,00",8,"R$ 7.200,00"
Apoio Técnico à Pesquisa - Nível A,"R$ 900,00",8,"R$ 7.200,00"
Apoio Técnico à Pesquisa - Nível A,"R$ 900,00",8,"R$ 7.200,00"
Apoio Técnico à Pesquisa - Nível A,"R$ 900,00",8,"R$ 7.200,00"
Apoio Técnico à Pesquisa - Nível A,"R$ 900,00",8,"R$ 7.200,00"
Apoio Técnico à Pesquisa - Nível B,"R$ 900,00",8,"R$ 7.200,00"
Apoio Técnico à Pesquisa - Nível B,"R$ 900,00",8,"R$ 7.200,00"
Apoio Técnico à Pesquisa - Nível B,"R$ 900,00",8,"R$ 7.200,00"
Apoio Técnico à Pesquisa - Nível B,"R$ 900,00",8,"R$ 7.200,00"
Apoio Técnico à Pesquisa - Nível B,"R$ 900,00",8,"R$ 7.200,00"
Apoio Técnico à Pesquisa - Nível B,"R$ 900,00",8,"R$ 7.200,00"
Apoio Técnico à Pesquisa - Nível B,"R$ 900,00",8,"R$ 7.200,00"
Apoio Técnico à Pesquisa - Nível B,"R$ 900,00",8,"R$ 7.200,00"
Apoio Técnico à Pesquisa - Nível B,"R$ 900,00",8,"R$ 7.200,00"
Apoio Técnico à Pesquisa - Nível B,"R$ 900,00",8,"R$ 7.200,00"
Apoio Técnico à Pesquisa - Nível B,"R$ 900,00",8,"R$ 7.200,00"
Total,-,-,"R$ 950.800,00"
