33.90.36 – Outros Serviços de Terceiros – Pessoa Física,,,
Item,Valor Unitário,Quantidade,Total
Serviços técnicos especializados Nivel A,"R$ 4.200,00",3,"R$ 12.600,00"
Serviços técnicos especializados Nivel A,"R$ 4.200,00",3,"R$ 12.600,00"
Total,"R$ 8.400,00",-,"R$ 25.200,00"
,,,
33.91.47 – Obrigações Tributárias e Contributivas,,,
Item,Valor Unitário,Quantidade,Total
INSS - Patronal  A,"R$ 840,00",3,"R$ 2.520,00"
INSS - Patronal  A,"R$ 840,00",3,"R$ 2.520,00"
Total,"R$ 1.680,00",-,"R$ 5.040,00"
,,,
33.90.39 – Outros Serviços de Terceiros - Pessoa Jurídica,,,
Item,Valor Unitário,Quantidade,Total
Consultoria PJ – A,"R$ 24.000,00",1,"R$ 24.000,00"
Consultoria PJ – A,"R$ 30.000,00",1,"R$ 30.000,00"
Total,"R$ 54.000,00",-,"R$ 54.000,00"
